	Floricourt_Dorat (Liaisons_Laclos)	Boudoir_Sade	Aline_Sade	Monde_Prevost	Fataliste_Diderot	Fils_Diderot	Religieuse_Diderot	Supplement_Diderot	Moraux_Marmontel	Emile_Rousseau	Julie_Rousseau	Adele_Genlis	Amours_Couvray	Belisaire_Marmontel	Incas_Marmontel	L'An_Mercier	Fanni_Riccoboni	Moraux_Mercier	Vertueuse_Retif	Fanchette_Retif	Perverti_Retif	Pervertie_Retif	Caliste_Charriere	Micromegas_Voltaire	Candide_Voltaire	Diable_Cazotte	Contemporaines_Retif	Françaises_Retif	Parisiennes_Retif	Nuit_Crebillon	Femme_Marmontel	Saisons_Saint-Lambert	Chaumiere_Bernardin	L'Emigre_Meilhan	Coelina_Pixerecourt	Voyage_Maistre	Chevaliers_Genlis	Pauliska_Saint-Cyr	Victor_Ducray-Duminil	Adele_Souza	Claire_Cottin	Justine_Sade	Juliette_Sade	Prince_Gouges	Crimes_Sade	L'Anti-Justine_Retif	L'Ingenu_Voltaire	Ecus_Voltaire	Jenni_Voltaire	Nuits_Retif	Vie_Retif	Menage_Retif	Emilie_Couvray	Naufrage_Morelly	Princesse_Voltaire	Rideau_Mirabeau	Galatee_Florian	Lucile_Retif
Fanchette_Retif (Q1706)	0	4	1	1	0	1	2	1	5	4	2	2	1	1	2	2	3	1	1	1	0	3	1	3	1	1	2	1	1	1	1	1	2	1	3	3	1	1	1	1	1	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Perverti_Retif (Q1918)	0	25	4	6	0	33	6	36	23	20	6	94	3	6	20	6	13	3	3	3	3	0	14	9	8	11	7	3	3	3	3	3	6	3	12	9	6	3	3	3	3	3	18	6	3	4	3	1	0	0	9	8	8	3	1	1	1	1	0
Pervertie_Retif (Q1065)	0	9	1	2	0	15	2	17	9	8	2	43	1	2	8	2	4	1	1	1	1	14	0	3	2	2	2	1	1	1	1	1	2	1	4	3	2	1	1	1	1	1	6	2	1	1	1	0	0	0	4	4	4	1	0	0	0	0	0
Caliste_Charriere (Q1066 / Q2240)	0	13	3	3	0	4	6	3	16	12	8	8	3	3	7	7	9	4	3	3	3	9	3	0	3	4	7	3	3	3	3	3	6	3	10	9	3	4	4	4	4	4	8	3	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0
Micromegas_Voltaire (Q1011)	0	15	3	2	0	8	2	20	5	4	2	34	1	2	4	2	6	1	1	1	1	8	2	3	0	95	4	1	1	1	1	1	2	1	4	3	2	1	1	1	1	1	6	14	1	3	1	20	18	12	2	0	0	1	2	2	2	2	0
Candide_Voltaire (Q1022)	0	28	7	3	0	96	11	44	6	4	33	78	1	2	5	3	9	2	1	1	1	11	2	4	95	0	8	1	1	1	1	1	2	1	6	3	3	2	2	2	2	2	11	23	1	6	2	42	33	22	5	0	0	1	5	5	5	5	0
Diable_Cazotte (Q1040)	0	11	3	2	0	5	4	3	11	8	6	9	2	2	5	5	7	3	2	2	2	7	2	7	4	8	0	2	2	2	2	2	4	2	7	6	2	3	3	3	3	3	6	2	2	3	1	1	0	0	1	0	0	0	1	1	1	1	0
Contemporaines_Retif (Q2024)	0	4	1	1	0	1	2	1	5	4	2	2	1	1	2	2	3	1	1	1	1	3	1	3	1	1	2	0	1	1	1	1	2	1	3	3	1	1	1	1	1	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Françaises_Retif (Q2223)	0	4	1	1	0	1	2	1	5	4	2	2	1	1	2	2	3	1	1	1	1	3	1	3	1	1	2	1	0	1	1	1	2	1	3	3	1	1	1	1	1	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Parisiennes_Retif (Q2263)	0	4	1	1	0	1	2	1	5	4	2	2	1	1	2	2	3	1	1	1	1	3	1	3	1	1	2	1	1	0	1	1	2	1	3	3	1	1	1	1	1	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Nuit_Crebillon (Q1015)	0	4	1	1	0	1	2	1	5	4	2	2	1	1	2	2	3	1	1	1	1	3	1	3	1	1	2	1	1	1	0	1	2	1	3	3	1	1	1	1	1	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Femme_Marmontel (Q1990)	0	4	1	1	0	1	2	1	5	4	2	2	1	1	2	2	3	1	1	1	1	3	1	3	1	1	2	1	1	1	1	0	2	1	3	3	1	1	1	1	1	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Saisons_Saint-Lambert (Q1709)	0	8	2	2	0	2	4	2	10	8	4	4	2	2	4	4	6	2	2	2	2	6	2	6	2	2	4	2	2	2	2	2	0	2	6	6	2	2	2	2	2	2	4	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
