MiMoTextBase_ID	Identifier	Baasner_1988a	Bauer-Funke_1998b	Bauer-Funke_2008a	Bauer-Funke_2008b	Brockmeier_1981a	Brockmeier_2008a	Dirscherl_1978a	Galle_2016a	Geißler_1979a	Geißler_Starke_1979a	Haas_1902a	Haas_1902b	Hülk_2006a	Kestner_2013a	Klinkert_2010a	Loos_1959a	Mahrenholtz_1889a	Mahrenholtz_1890a	Rieger_2006a	Sasse_2018a	Schlötke-Schröer_1956a	Schlötke-Schröer_1957a	Schlüter_2014a	Schlüter_2014b	Schlüter_2014c	Vosskamp_1971a
Q1702	Moraux_Mercier	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q1706	Fanchette_Retif	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q1709	Saisons_Saint-Lambert	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q1835	Menage_Retif	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q1892	Jenni_Voltaire	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q1918	Perverti_Retif	0	3	0	0	0	0	0	0	0	4	0	13	0	0	0	0	0	0	3	0	0	0	1	0	0	0
Q1990	Femme_Marmontel	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q2000	Vie_Retif	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q2024	Contemporaines_Retif	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q2223	Françaises_Retif	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q2240	Caliste_Charriere	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q2263	Parisiennes_Retif	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q2328	Fils_Diderot	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	5	0	0
Q2440	Emilie_Couvray	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Q2458	Prince_Gouges	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q2495	Nuits_Retif	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Q2567	Victor_Ducray-Duminil	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q2592	Juliette_Sade	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Q2744	Coelina_Pixerecourt	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
